,ProteinMean,ImpurityMean,CycleTimeMean,ProteinVar,ImpurityVar,CycleTimeVar,Throughput,TotalYield,PassRate,Ino_Utilization,Fer_Utilization,Cen_Utilization,Chr_Utilization,Fil_Utilization,Finished #,Not Qualified #,FerDropped #,DSPDropped #
28,4.402973259,0.79623786,96.89687342,4.189402529,0.173392127,195.9010442,0.045439787,537.1627376,0.792207792,0.136406446,0.501834734,0.0483502,0.261166093,0.048355976,122,17,1,14
29,4.650611759,0.834642185,93.20331378,5.37915009,0.241767538,58.53792777,0.049897494,623.1819757,0.832298137,0.123051938,0.458148859,0.044266209,0.238175023,0.045204134,134,15,3,9
30,4.558483014,0.833897252,102.1334244,5.851563461,0.245056537,652.8270034,0.044632627,547.0179617,0.810810811,0.151493197,0.5512335,0.053073684,0.275048098,0.052483598,120,15,1,12
31,4.897185329,0.860559051,94.21285746,8.191159018,0.312238154,86.91528397,0.051980011,548.4847568,0.811594203,0.14681231,0.528837521,0.051052646,0.278123542,0.051958273,112,19,0,7
32,4.388295918,0.800863569,93.77559463,5.997609478,0.285764747,45.62377831,0.046795714,574.8667653,0.789156627,0.128495129,0.481912553,0.04781262,0.266890332,0.049912012,131,25,1,9
33,4.543211435,0.845256823,92.56247209,7.051986563,0.267226365,66.34512681,0.04908265,581.5310637,0.847682119,0.131418726,0.485663023,0.047105574,0.253762928,0.048365559,128,17,1,5
34,4.218861498,0.788000754,92.65372769,4.863097693,0.197003778,48.98702774,0.04553364,455.6370418,0.805970149,0.13154678,0.468198154,0.044654306,0.231317517,0.043403537,108,14,0,12
35,4.086855397,0.734825868,97.03044731,4.743115205,0.174169254,233.7320226,0.042119309,502.6832138,0.809210526,0.151869763,0.561279615,0.054686042,0.284304565,0.053670345,123,15,0,14
36,4.435879606,0.778764685,97.43767321,6.448222889,0.213050782,150.1042973,0.045525303,545.6131916,0.82,0.145047929,0.531854156,0.051725329,0.280915305,0.052746418,123,17,1,9
37,4.297158665,0.735925546,94.65824581,3.968920884,0.142803888,74.14597633,0.045396559,541.4419917,0.887323944,0.119862569,0.433788541,0.042423861,0.231815158,0.042626005,126,10,0,6
38,4.350032419,0.825179629,93.36131222,4.880470712,0.234310044,43.14072494,0.046593523,556.8041496,0.836601307,0.122227588,0.449368276,0.04382852,0.245755002,0.045450762,128,18,0,7
39,4.220939638,0.77174429,95.40443296,4.069925856,0.167112687,118.1342571,0.044242594,438.9777224,0.759124088,0.142636618,0.515119265,0.048784149,0.263949283,0.049691334,104,20,4,9
40,4.452194608,0.816825498,96.4360013,5.596039232,0.230770148,253.5679536,0.04616735,516.4545745,0.763157895,0.139136857,0.511655324,0.049148702,0.268058935,0.04923295,116,22,3,11
41,4.265350136,0.765242939,97.97134533,4.175154977,0.149455728,294.5816026,0.043536711,511.8420163,0.789473684,0.140936866,0.520451299,0.050406513,0.26649257,0.049538912,120,20,0,12
42,4.537038688,0.818215337,95.02041102,5.42083283,0.264530106,165.9294171,0.047748043,585.2779908,0.811320755,0.12191366,0.453386799,0.044157471,0.242041678,0.046254334,129,21,2,7
43,4.40057766,0.788849596,93.79338287,5.789874968,0.258771582,83.34726242,0.046917784,563.2739404,0.859060403,0.130786237,0.475399797,0.045868252,0.247722617,0.047759019,128,15,1,5
44,4.477923699,0.801166824,92.91952377,5.609899175,0.246876964,54.69642733,0.048191419,582.1300809,0.792682927,0.136046989,0.506818826,0.049284865,0.25540393,0.047035797,130,14,2,18
45,4.210818075,0.778044495,94.09539022,4.642276163,0.180159779,95.09773194,0.044750525,467.4008063,0.760273973,0.139068743,0.505280316,0.049262563,0.26993864,0.049903814,111,24,0,11
46,4.356596711,0.783453196,94.70304444,5.669087145,0.291853606,104.7588907,0.04600271,522.7916053,0.784313725,0.136501389,0.502708976,0.048591922,0.263432864,0.049017257,120,20,3,10
47,4.287257461,0.781460566,93.91463234,4.819664893,0.187196012,54.87781781,0.04565058,548.768955,0.810126582,0.116251883,0.433388066,0.042215326,0.233166307,0.043646202,128,22,1,7
48,4.436324353,0.824220258,92.94300872,5.667330481,0.237527541,61.98778389,0.047731663,572.2858415,0.837662338,0.137296134,0.506362243,0.049234045,0.273709335,0.051767223,129,19,2,4
49,4.592003036,0.82275616,97.84506982,4.870641097,0.205871357,202.5066598,0.046931369,532.6723522,0.789115646,0.137378339,0.504249527,0.049061002,0.262573996,0.048054153,116,19,0,12
50,4.072655666,0.747041762,95.69730369,3.746018901,0.160397146,145.8085702,0.042557685,500.9366469,0.814569536,0.135164362,0.498458333,0.048255744,0.25329437,0.048610193,123,11,2,15
51,4.223507421,0.771688115,92.85341333,4.066002521,0.168030901,71.31634301,0.045485753,527.9384276,0.833333333,0.125716493,0.458254008,0.044106058,0.23949539,0.045765963,125,17,2,6
52,4.368262793,0.756762045,94.46426834,6.054088286,0.182285615,70.70309036,0.046242488,554.7693747,0.830065359,0.1325527,0.489119411,0.048122828,0.262986157,0.04873261,127,15,0,11
53,4.283758471,0.794759075,94.89135855,4.201360639,0.200352141,95.76984427,0.045143821,535.4698089,0.771604938,0.125626731,0.472860121,0.04607076,0.246182436,0.045123898,125,20,1,16
54,4.57523852,0.830278146,96.71363547,4.554661993,0.216443088,212.1148917,0.047307068,590.2057691,0.811320755,0.13253878,0.494577008,0.048621166,0.262986532,0.049676144,129,19,0,11
55,4.560446496,0.8509873,93.65478144,5.050589121,0.189460526,108.5168002,0.04869422,574.6162585,0.845637584,0.130608521,0.478069665,0.046464944,0.254415897,0.047758086,126,16,0,7
56,4.538972423,0.811665211,95.18008888,5.104398367,0.211413628,97.8529628,0.047688256,540.1377184,0.772727273,0.139303332,0.513763942,0.04996796,0.267958816,0.050223061,119,21,1,13
57,4.352784354,0.823098981,94.44606166,9.223688076,0.452058111,91.73180673,0.046087516,561.5091817,0.865771812,0.147553761,0.544183832,0.052914693,0.288464059,0.05556648,129,17,0,3
58,4.185240418,0.76926418,94.1503987,4.331496859,0.202473402,76.8310876,0.044452711,506.4140906,0.785714286,0.138811887,0.513261939,0.049813101,0.275163132,0.051391947,121,20,2,11
59,4.62143551,0.815869364,94.95682637,4.7883865,0.183905785,139.3122137,0.048668808,536.0865191,0.805555556,0.142348785,0.515140268,0.049460207,0.2668944,0.049180176,116,18,1,9
60,3.952118807,0.752654397,97.64794323,4.295887438,0.221499139,180.8733513,0.040473139,391.2597619,0.75,0.163696248,0.591122851,0.056153912,0.290706356,0.052756618,99,16,2,15
61,3.851188723,0.688870601,92.76859534,3.163424436,0.153572579,45.23885087,0.041513927,439.0355144,0.786206897,0.114667013,0.418109556,0.040157941,0.220870231,0.041548546,114,25,0,6
62,3.957955598,0.712264655,96.57268578,3.653623896,0.149292822,110.0130137,0.040984214,478.9126273,0.823129252,0.139830766,0.510448993,0.049344342,0.273542555,0.050557728,121,19,0,7
63,4.081102733,0.762109368,95.02532188,4.95313346,0.239597005,103.5252255,0.042947529,444.8401979,0.762237762,0.159151913,0.573982793,0.05476355,0.294682841,0.054646659,109,23,2,9
64,4.323649233,0.803354384,96.58342561,3.787719871,0.189836822,170.6872033,0.044765954,553.4271018,0.836601307,0.130179737,0.479030214,0.046082214,0.247262628,0.047002473,128,12,3,10
65,4.017409989,0.738131526,92.50129422,4.239251343,0.21174013,37.34317191,0.043430852,526.2807085,0.829113924,0.129505881,0.478354969,0.046537103,0.248044163,0.047118566,131,15,1,11
66,4.584052928,0.857569471,95.53302184,5.337570414,0.269361949,147.4485102,0.047983962,618.8471452,0.882352941,0.132046847,0.485507732,0.046682472,0.25722376,0.048763028,135,12,2,4
67,4.473332427,0.80392841,93.00978041,4.839401948,0.206122659,81.04765456,0.048095291,518.9065615,0.789115646,0.126649802,0.460580917,0.044768881,0.237247025,0.044428577,116,18,0,13
68,3.949273724,0.698554432,92.31327107,3.40616468,0.149488765,44.96178069,0.042781213,489.7099418,0.779874214,0.129054315,0.479524938,0.047013937,0.260884421,0.049318838,124,27,1,7
69,4.615892791,0.867665336,95.03525506,6.913621112,0.330302051,175.0072287,0.04857032,540.0594566,0.841726619,0.142728112,0.517738757,0.050348936,0.265325592,0.049262122,117,14,0,8
70,4.155434298,0.775392744,93.31048134,4.318313995,0.21580782,58.70271749,0.044533414,502.8075501,0.785714286,0.138323725,0.510719521,0.049775589,0.256176108,0.048389996,121,17,1,15
71,4.421584492,0.784571811,94.58872468,5.700219369,0.186119471,88.04824996,0.046745365,557.119646,0.773006135,0.140889564,0.525735392,0.051648246,0.278061795,0.051304368,126,21,0,16
72,4.402035985,0.792881807,93.62591985,5.290748189,0.215003976,67.51621207,0.047017279,479.8219223,0.741496599,0.125230002,0.455761128,0.044098116,0.235689335,0.043509388,109,24,1,13
73,4.441011654,0.799962773,94.4951563,4.457501617,0.178177127,81.53640321,0.046997241,479.6292587,0.765957447,0.141694197,0.514605657,0.049343456,0.259865873,0.047624821,108,20,1,12
74,4.399730808,0.805462653,96.05222269,4.908516106,0.203291106,111.5368994,0.045805612,585.1641975,0.81595092,0.144190825,0.537727795,0.052799417,0.285947762,0.054023223,133,20,0,10
75,4.249266178,0.762245626,93.32278634,3.792404716,0.189663307,56.69439053,0.045532997,497.1641428,0.774834437,0.139227561,0.511501318,0.049317529,0.267716123,0.050222052,117,21,2,11
76,4.395338265,0.81211906,92.47425215,5.077441789,0.207341276,50.56555907,0.047530401,527.4405918,0.769230769,0.130803293,0.485281584,0.04692098,0.250391602,0.04673004,120,20,2,14
77,4.33299742,0.762918193,94.55682436,4.266183369,0.19706526,91.19231924,0.04582427,528.6256853,0.829931973,0.144669242,0.528485291,0.051564767,0.277798941,0.052328262,122,15,0,10
78,4.342697905,0.799287524,95.56496393,5.659438031,0.286978854,157.7227328,0.045442364,564.5507276,0.8125,0.146584593,0.542273489,0.053038515,0.283805399,0.052499179,130,15,0,15
79,4.141886379,0.767319515,96.03656533,3.694200452,0.191008829,177.9606013,0.043128223,534.3033429,0.80625,0.13497064,0.502488739,0.048939049,0.265109713,0.05005609,129,19,2,10
80,4.007514258,0.712333807,96.36879539,3.861843826,0.157985798,153.7782386,0.041585186,476.8941967,0.80952381,0.131355086,0.480946568,0.04658539,0.249430287,0.045853682,119,13,2,13
81,4.207036657,0.785215845,94.5992342,6.329809094,0.310720801,89.83516771,0.044472206,483.8092155,0.746753247,0.125195815,0.458744173,0.044636113,0.243872288,0.044089783,115,23,1,15
82,4.434585167,0.824760953,92.03714306,4.956110488,0.199272854,35.00365659,0.04818256,478.935198,0.76056338,0.131790066,0.476642689,0.045863005,0.244175292,0.044973112,108,21,1,12
83,4.296699424,0.77425963,95.59009244,5.608571218,0.265347039,132.4615561,0.044949213,498.4171332,0.758169935,0.144043859,0.531615801,0.052162423,0.270860711,0.049829524,116,17,1,19
84,4.357276163,0.800771435,95.45771439,4.679905423,0.237223629,136.8675418,0.04564614,562.088625,0.811320755,0.127700469,0.476387937,0.046739846,0.255917418,0.047766844,129,17,1,12
85,4.977727275,0.910098371,92.63261123,6.739153798,0.332984103,65.87618241,0.05373623,652.082273,0.867549669,0.125762999,0.462787493,0.044958891,0.236045519,0.045711222,131,10,2,8
86,4.374372285,0.826330001,92.4146141,5.416016839,0.240673911,46.07762731,0.047334205,555.5452802,0.830065359,0.132409465,0.487551049,0.04747955,0.258314605,0.048984432,127,17,0,9
87,4.208029366,0.765567412,97.43604951,4.919567001,0.212432682,183.5141762,0.043187602,504.9635239,0.794701987,0.138895627,0.512766314,0.049381631,0.271082452,0.050362792,120,19,2,10
